aggregation_period,int_id,intersection_name,px,classification,dir,period_name,volume
Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Cyclists,EB,Evening (17:00-22:00),55
Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Cyclists,EB,Midday (10:00-16:00),41
Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Cyclists,EB,Morning (08:00-12:00),23
Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Cyclists,EB,PM Peak Period (16:00-19:00),42
Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Cyclists,WB,14 Hour,97
Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Cyclists,WB,Afternoon (12:00-17:00),36
Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Cyclists,WB,AM Peak Period (07:00-10:00),27
Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Cyclists,WB,Evening (17:00-22:00),31
Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Cyclists,WB,Midday (10:00-16:00),41
Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Cyclists,WB,Morning (08:00-12:00),30
Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Cyclists,WB,PM Peak Period (16:00-19:00),19
Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Pedestrians,EB,14 Hour,5098
Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Pedestrians,EB,Afternoon (12:00-17:00),2067
Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Pedestrians,EB,AM Peak Period (07:00-10:00),860
Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Pedestrians,EB,Evening (17:00-22:00),1945
Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Pedestrians,EB,Midday (10:00-16:00),2218
Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Pedestrians,EB,Morning (08:00-12:00),1272
Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Pedestrians,EB,PM Peak Period (16:00-19:00),1675
Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Pedestrians,WB,14 Hour,4741
Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Pedestrians,WB,Afternoon (12:00-17:00),2109
Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Pedestrians,WB,AM Peak Period (07:00-10:00),779
Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Pedestrians,WB,Evening (17:00-22:00),1548
Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Pedestrians,WB,Midday (10:00-16:00),2190
Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Pedestrians,WB,Morning (08:00-12:00),1174
